Total;TimeBin;Women_OCC;Men_OCC;ESH_OCC;ESF_OCC;SEH_OCC;SEF_OCC;V1H_OCC;V1F_OCC;V2H_OCC;V2F_OCC;V3H_OCC;V3F_OCC;V4H_OCC;V4F_OCC;ESH_UT4M;ESF_UT4M;SEH_UT4M;SEF_UT4M;V1H_UT4M;V1F_UT4M;V2H_UT4M;V2F_UT4M;V3H_UT4M;V3F_UT4M;V4H_UT4M;V4F_UT4M
0;210 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;225 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;240 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;255 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;270 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1;285 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;300 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0
7;315 min;0;7;1;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0
8;330 min;0;8;1;0;5;0;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
10;345 min;0;10;0;0;9;0;1;0;0;0;0;0;0;0;0;0;7;1;6;0;0;0;0;0;0;0
18;360 min;1;17;1;0;13;1;3;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
16;375 min;2;14;0;0;12;2;2;0;0;0;0;0;0;0;1;0;10;2;3;0;1;0;0;0;0;0
14;390 min;3;11;1;0;6;3;4;0;0;0;0;0;0;0;0;0;18;3;1;1;3;0;0;0;0;0
16;405 min;1;15;0;0;10;0;4;1;1;0;0;0;0;0;0;0;13;1;4;1;1;0;0;0;0;0
21;420 min;5;16;0;0;9;5;6;0;1;0;0;0;0;0;1;0;5;2;1;1;0;1;0;0;0;0
32;435 min;5;27;0;0;14;4;10;1;3;0;0;0;0;0;0;0;8;2;5;1;4;0;0;0;0;0
32;450 min;5;27;2;0;18;4;7;1;0;0;0;0;0;0;1;0;13;1;3;0;2;0;0;0;0;0
24;465 min;3;21;0;0;11;2;9;1;1;0;0;0;0;0;0;0;7;1;6;1;1;0;0;0;0;0
25;480 min;2;23;0;0;16;1;5;1;1;0;1;0;0;0;1;0;8;1;3;2;3;0;0;0;0;0
48;495 min;5;43;1;0;21;4;18;1;3;0;0;0;0;0;0;0;5;6;3;0;1;0;0;0;0;0
46;510 min;6;40;1;0;21;4;16;1;1;1;1;0;0;0;0;0;8;2;4;2;4;0;0;1;0;0
76;525 min;13;63;1;0;34;7;24;6;4;0;0;0;0;0;0;1;2;2;2;2;5;0;0;0;0;0
51;540 min;7;44;0;0;19;4;15;2;9;1;1;0;0;0;0;0;6;2;1;3;3;0;1;0;0;0
70;555 min;8;62;0;0;29;5;23;2;10;1;0;0;0;0;1;0;3;4;3;1;1;0;0;0;0;0
77;570 min;14;63;0;0;30;7;22;6;11;0;0;1;0;0;1;0;3;2;1;1;1;1;0;0;0;0
74;585 min;12;62;0;0;35;8;18;4;8;0;1;0;0;0;0;0;1;1;0;2;1;0;0;2;0;0
41;600 min;4;37;0;0;15;3;15;1;7;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0
84;615 min;14;70;0;0;33;10;23;3;10;1;3;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
60;630 min;14;46;0;0;14;6;21;6;9;2;1;0;1;0;0;1;0;1;2;1;0;1;0;0;0;0
60;645 min;12;48;0;0;17;4;16;4;12;3;3;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0
64;660 min;20;44;1;0;15;12;15;4;13;2;0;2;0;0;0;0;0;0;1;1;2;3;0;0;0;0
73;675 min;19;54;0;0;14;7;24;8;13;4;2;0;1;0;0;0;0;1;0;0;2;2;0;0;0;0
59;690 min;13;46;1;0;15;2;16;7;9;4;4;0;1;0;0;0;0;4;1;0;1;0;0;0;0;0
45;705 min;16;29;0;0;11;6;10;9;6;0;2;1;0;0;0;0;2;0;1;0;1;2;0;0;0;0
51;720 min;17;34;1;0;11;5;18;11;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;735 min;18;28;0;0;5;6;12;9;9;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;750 min;7;25;0;0;8;3;9;2;5;1;2;0;1;1;0;0;1;1;0;0;0;1;2;0;0;0
31;765 min;14;17;0;0;3;3;8;6;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;780 min;16;20;0;0;6;5;4;6;6;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
23;795 min;11;12;0;0;2;5;3;4;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;810 min;15;18;0;0;2;2;9;9;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;825 min;7;12;0;0;2;1;5;4;2;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
22;840 min;8;14;0;0;1;1;6;5;5;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;855 min;3;6;0;0;1;1;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;870 min;5;2;0;0;1;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0